Date,^GSPC,^GDAXI,^N225,^BVSP,^NSEI,^HSI,VIX
2010-04-06,1189.43994140625,6252.2099609375,11282.3203125,71096.0,5366.0,,16.229999542236328
2010-04-07,1182.449951171875,6222.41015625,11292.830078125,70793.0,5374.64990234375,21928.76953125,16.6200008392334
2010-04-08,1186.43994140625,6171.830078125,11168.2001953125,71785.0,5304.4501953125,21867.0390625,16.479999542236328
2010-04-09,1194.3699951171875,6249.7001953125,11204.33984375,71417.0,5361.75,22208.5,16.139999389648438
2010-04-12,1196.47998046875,6250.68994140625,11251.900390625,70614.0,5339.7001953125,22138.169921875,15.579999923706055
2010-04-13,1197.300048828125,6230.830078125,11161.23046875,70792.0,5322.9501953125,22103.529296875,16.200000762939453
2010-04-14,1210.6500244140625,6278.39990234375,11204.900390625,71035.0,,22121.4296875,15.59000015258789
2010-04-15,1211.6700439453125,6291.4501953125,11273.7900390625,70524.0,5273.60009765625,22157.8203125,15.890000343322754
2010-04-16,1192.1300048828125,6180.89990234375,11102.1796875,69421.0,5262.60009765625,21865.259765625,18.360000610351562
2010-04-19,1197.52001953125,6162.43994140625,10908.76953125,69098.0,5203.64990234375,21405.169921875,17.34000015258789
2010-04-20,1207.1700439453125,6264.22998046875,10900.6796875,69318.0,5230.10009765625,21623.380859375,15.729999542236328
2010-04-21,1205.93994140625,6230.3798828125,11090.0498046875,,5244.89990234375,21510.9296875,16.31999969482422
2010-04-22,1208.6700439453125,6168.72021484375,10949.08984375,69386.0,5269.35009765625,21454.939453125,16.469999313354492
2010-04-23,1217.280029296875,6259.52978515625,10914.4599609375,69509.0,5304.10009765625,21244.490234375,16.6200008392334
2010-04-26,1212.050048828125,6332.10009765625,11165.7900390625,68872.0,5322.4501953125,21587.060546875,17.469999313354492
2010-04-27,1183.7099609375,6159.509765625,11212.66015625,66511.0,5308.35009765625,21261.7890625,22.809999465942383
2010-04-28,1191.3599853515625,6084.33984375,10924.7900390625,66656.0,5215.4501953125,20949.400390625,21.079999923706055
2010-04-29,1206.780029296875,6144.91015625,,67978.0,5254.14990234375,20778.919921875,18.440000534057617
2010-04-30,1186.68994140625,6135.7001953125,11057.400390625,67530.0,5278.0,21108.58984375,22.049999237060547
2010-05-03,1202.260009765625,6166.919921875,,67119.0,5222.75,20811.359375,20.190000534057617
2010-05-04,1173.5999755859375,6006.85986328125,,64869.0,5148.5,20763.05078125,23.84000015258789
2010-05-05,1165.8699951171875,5958.4501953125,,64914.0,5124.89990234375,20327.5390625,24.90999984741211
2010-05-06,1128.1500244140625,5908.259765625,10695.6904296875,63414.0,5090.85009765625,20133.41015625,32.79999923706055
2010-05-07,1110.8800048828125,5715.08984375,10364.58984375,62871.0,5018.0498046875,19920.2890625,40.95000076293945
2010-05-10,1159.72998046875,6017.91015625,10530.7001953125,65453.0,5193.60009765625,20426.640625,28.84000015258789
2010-05-11,1155.7900390625,6037.7099609375,10411.099609375,64425.0,5136.14990234375,20146.509765625,28.31999969482422
2010-05-12,1171.6700439453125,6183.490234375,10394.0302734375,65224.0,5156.64990234375,20212.490234375,25.520000457763672
2010-05-13,1157.43994140625,6251.97021484375,10620.5498046875,64788.0,5178.89990234375,20422.4609375,26.68000030517578
2010-05-14,1135.6800537109375,6056.7099609375,10462.509765625,63412.0,5093.5,20145.4296875,31.239999771118164
2010-05-17,1136.93994140625,6066.919921875,10235.759765625,62866.0,5059.89990234375,19715.19921875,30.84000015258789
2010-05-18,1120.800048828125,6155.93017578125,10242.6396484375,60841.0,5066.2001953125,19944.939453125,33.54999923706055
2010-05-19,1115.050048828125,5988.669921875,10186.83984375,59689.0,4919.64990234375,19578.98046875,35.31999969482422
2010-05-20,1071.5899658203125,5867.8798828125,10030.3095703125,58192.0,4947.60009765625,19545.830078125,45.790000915527344
2010-05-21,1087.68994140625,5829.25,9784.5400390625,60259.0,4931.14990234375,,40.099998474121094
2010-05-24,1073.6500244140625,5805.68017578125,9758.400390625,59915.0,4943.9501953125,19667.759765625,38.31999969482422
2010-05-25,1074.030029296875,5670.0400390625,9459.8896484375,59184.0,4806.75,18985.5,34.61000061035156
2010-05-26,1067.949951171875,5758.02001953125,9522.66015625,60190.0,4917.39990234375,19196.44921875,35.02000045776367
2010-05-27,1103.06005859375,5937.14013671875,9639.7197265625,62092.0,5003.10009765625,19431.369140625,29.68000030517578
2010-05-28,1089.4100341796875,5946.18017578125,9762.98046875,61947.0,5066.5498046875,19766.7109375,32.06999969482422
2010-05-31,,5964.330078125,9768.7001953125,63047.0,5086.2998046875,19765.189453125,
2010-06-01,1070.7099609375,5981.27001953125,9711.830078125,61841.0,4970.2001953125,19496.94921875,35.540000915527344
2010-06-02,1098.3800048828125,5981.2001953125,9603.240234375,62943.0,5019.85009765625,19471.80078125,30.170000076293945
2010-06-03,1102.8299560546875,6054.6298828125,9914.1904296875,,5110.5,19786.7109375,29.459999084472656
2010-06-04,1064.8800048828125,5938.8798828125,9901.1904296875,61676.0,5135.5,19780.0703125,35.47999954223633
2010-06-07,1050.469970703125,5904.9501953125,9520.7998046875,61183.0,5034.0,19378.150390625,36.56999969482422
2010-06-08,1062.0,5868.5498046875,9537.9404296875,61856.0,4987.10009765625,19487.48046875,33.70000076293945
2010-06-09,1055.68994140625,5984.75,9439.1298828125,61479.0,5000.2998046875,19621.240234375,33.72999954223633
2010-06-10,1086.8399658203125,6056.58984375,9542.650390625,63049.0,5078.60009765625,19632.69921875,30.56999969482422
2010-06-11,1091.5999755859375,6047.830078125,9705.25,63605.0,5119.35009765625,19872.380859375,28.790000915527344
2010-06-14,1089.6300048828125,6125.0,9879.849609375,63533.0,5197.7001953125,20051.91015625,28.579999923706055
2010-06-15,1115.22998046875,6175.0498046875,9887.8896484375,64442.0,5222.35009765625,20062.150390625,25.8700008392334
2010-06-16,1114.6099853515625,6190.91015625,10067.150390625,64751.0,5233.35009765625,,25.920000076293945
2010-06-17,1116.0400390625,6223.5400390625,9999.400390625,64541.0,5274.85009765625,20138.400390625,25.049999237060547
