Date,^GSPC_Price,^GDAXI_Price,^N225_Price,^BVSP_Price,^NSEI_Price,^HSI_Price,^GSPC_Returns,^GDAXI_Returns,^N225_Returns,^BVSP_Returns,^NSEI_Returns,^HSI_Returns,VIX_Price,VIX_Returns
2010-01-04,1132.989990234375,6048.2998046875,10654.7900390625,70045.0,5232.2001953125,21823.279296875,,,,,,,20.040000915527344,
2010-01-05,1136.52001953125,6031.85986328125,10681.830078125,70240.0,5277.89990234375,22279.580078125,0.0031108319667598,-0.0027218103083708,0.0025346145162679,0.0027800566787838,0.0086963957751819,0.0206933097050932,19.350000381469727,-0.03503788271167174
2010-01-06,1137.1400146484375,6034.330078125,10731.4501953125,70729.0,5281.7998046875,22416.669921875,0.0005453718878234,0.0004094440565332,0.0046345263657912,0.0069377233487877,0.0007386389062684,0.0061343076270397,19.15999984741211,-0.009867674611151234
2010-01-07,1141.68994140625,6019.35986328125,10681.66015625,70451.0,5263.10009765625,22269.44921875,0.0039932183546547,-0.0024839236140223,-0.0046504340543886,-0.0039382399675407,-0.0035466864183373,-0.0065891260466344,19.059999465942383,-0.005232894372593666
2010-01-08,1144.97998046875,6037.60986328125,10798.3203125,70263.0,5244.75,22296.75,0.0028775830750955,0.0030272969662537,0.0108623286208509,-0.0026720882337354,-0.0034926490460929,0.0012251789537174,18.1299991607666,-0.050023891729247705
2010-01-11,1146.97998046875,6040.5,,70433.0,5249.39990234375,22411.51953125,0.0017452316285844,0.0004785743475803,,0.0024165588606628,0.0008861894848699,0.0051341635254562,17.549999237060547,-0.03251407203745549
2010-01-12,1136.219970703125,5943.0,10879.1396484375,70076.0,5210.39990234375,22326.640625,-0.0094254464389438,-0.0162727335929577,0.0074565664564278,-0.0050815359614606,-0.0074571562473284,-0.0037944791558075,18.25,0.03911117358896021
2010-01-13,1145.6800537109375,5963.14013671875,10735.0302734375,70385.0,5233.9501953125,21748.599609375,0.0082914563333602,0.0033831545231901,-0.0133349104752458,0.0043998049063542,0.0045096789481018,-0.026231242618337,17.850000381469727,-0.022161550431999633
2010-01-14,1148.4599609375,5988.8798828125,10907.6796875,69801.0,5259.89990234375,21716.94921875,0.0024234864214136,0.0043071858723457,0.0159548482410585,-0.008331835966663,0.0049457081402817,-0.0014563440275043,17.6299991607666,-0.012401580789298094
2010-01-15,1136.030029296875,5875.97021484375,10982.099609375,68978.0,5252.2001953125,21654.16015625,-0.0108821263012082,-0.0190332074323045,0.0067995394189583,-0.0118607231361806,-0.0014649229624303,-0.002895434646291,17.90999984741211,0.015757258745713987
2010-01-18,,5918.5498046875,10855.080078125,69401.0,5274.85009765625,21460.009765625,,0.0072202641148209,-0.0116334586796629,0.0061136634537639,0.0043031878189765,-0.0090063987479904,,
2010-01-19,1150.22998046875,5976.47998046875,10764.900390625,69909.0,5225.64990234375,21677.98046875,0.0124221512077369,0.0097403091594809,-0.0083423026794076,0.0072931196854622,-0.0093710881128128,0.0101058281579291,17.579999923706055,-0.01859731963570077
2010-01-20,1138.0400390625,5851.52978515625,10737.51953125,68200.0,5221.7001953125,21286.169921875,-0.0106543866018613,-0.0211286338278,-0.0025467714121418,-0.0247498314668952,-0.0007561165620959,-0.0182394580354028,18.68000030517578,0.060691561220513446
2010-01-21,1116.47998046875,5746.97021484375,10868.41015625,66270.0,5094.14990234375,20862.669921875,-0.019126657272988,-0.0180303320132892,0.0121163243772333,-0.0287072587492804,-0.0247302534165196,-0.0200961285847203,22.270000457763672,0.17578705268671824
2010-01-22,1091.760009765625,5695.31982421875,10590.5498046875,66220.0,5036.0,20726.1796875,-0.0223897796301084,-0.0090280426845232,-0.0258983550504758,-0.0007547739810362,-0.0114806871788921,-0.006563813411434,27.309999465942383,0.20401241410577864
2010-01-25,1096.780029296875,5631.3701171875,10512.6904296875,,5007.89990234375,20598.55078125,0.004587559053796,-0.011291981483275,-0.0073789358803111,,-0.0055954701352245,-0.0061768974944929,25.40999984741211,-0.07211012460318678
2010-01-26,1092.1700439453125,5668.93017578125,10325.2802734375,65524.0,,20109.330078125,-0.0042120578477859,0.0066476458038327,-0.0179878561249253,-0.0105660443767146,,-0.0240368325393447,24.549999237060547,-0.034430968163473796
2010-01-27,1097.5,5643.2001953125,10252.080078125,65070.0,4853.10009765625,20033.0703125,0.0048682828686121,-0.004549103307113,-0.0071146641585659,-0.0069528742354929,-0.0313989499028064,-0.0037994667295961,23.139999389648438,-0.05914912777450754
2010-01-28,1084.530029296875,5540.330078125,10414.2900390625,65588.0,4867.25,20356.369140625,-0.0118881255342797,-0.0183972352365771,0.0156982857854774,0.0079291388807298,0.0029113997328131,0.0160094191767807,23.729999542236328,0.025177355768109422
2010-01-29,1073.8699951171875,5608.7900390625,10198.0400390625,65402.0,4882.0498046875,20121.990234375,-0.009877799049982,0.0122809370876684,-0.0209833564393271,-0.0028399133523038,0.0030360777394111,-0.011580584254963,24.6200008392334,0.03681910368660457
2010-02-01,1089.18994140625,5654.47998046875,10205.01953125,66572.0,4899.7001953125,20243.75,0.0141653055463697,0.0081131309019646,0.0006841613568493,0.0177312296891614,0.0036088449983289,0.0060328453885549,22.59000015258789,-0.08605181760919489
2010-02-02,1103.3199462890625,5709.66015625,10371.08984375,67163.0,4830.10009765625,20272.1796875,0.0128895204452028,0.0097113567395297,0.0161424023983443,0.0088384319333094,-0.0143068270124508,0.0014033834289506,21.479999542236328,-0.05038508890507165
