Date,Price,Returns
2010-01-04,5232.2001953125,
2010-01-05,5277.89990234375,0.008696395775181998
2010-01-06,5281.7998046875,0.0007386389062684628
2010-01-07,5263.10009765625,-0.0035466864183373303
2010-01-08,5244.75,-0.0034926490460929216
2010-01-11,5249.39990234375,0.0008861894848699592
2010-01-12,5210.39990234375,-0.007457156247328456
2010-01-13,5233.9501953125,0.004509678948101836
2010-01-14,5259.89990234375,0.004945708140281724
2010-01-15,5252.2001953125,-0.0014649229624303928
2010-01-18,5274.85009765625,0.004303187818976539
2010-01-19,5225.64990234375,-0.009371088112812842
2010-01-20,5221.7001953125,-0.0007561165620959542
2010-01-21,5094.14990234375,-0.024730253416519687
2010-01-22,5036.0,-0.011480687178892168
2010-01-25,5007.89990234375,-0.005595470135224545
2010-01-27,4853.10009765625,-0.03139894990280645
2010-01-28,4867.25,0.00291139973281318
2010-01-29,4882.0498046875,0.0030360777394111693
2010-02-01,4899.7001953125,0.0036088449983289195
2010-02-02,4830.10009765625,-0.014306827012450896
2010-02-03,4931.85009765625,0.020846999413258516
2010-02-04,4845.35009765625,-0.017694688705125472
2010-02-05,4718.64990234375,-0.026496781268445346
2010-02-08,4760.39990234375,0.00880895676999316
2010-02-09,4792.64990234375,0.006751796164294888
2010-02-10,4757.2001953125,-0.007424173049006555
2010-02-11,4826.85009765625,0.014534800298262596
2010-02-15,4801.9501953125,-0.005171975135167983
2010-02-16,4855.75,0.011141443639870019
2010-02-17,4914.0,0.011924704368881933
2010-02-18,4887.75,-0.0053561992005253245
2010-02-19,4844.89990234375,-0.008805489760122853
2010-02-22,4856.39990234375,0.0023708174405694393
2010-02-23,4870.0498046875,0.002806761298511873
2010-02-24,4858.60009765625,-0.0023538132079057306
2010-02-25,4859.75,0.0002366455905704612
2010-02-26,4922.2998046875,0.012788865005232353
2010-03-02,5017.0,0.019056284236798504
2010-03-03,5088.10009765625,0.014072353623683753
2010-03-04,5080.25,-0.0015440261478847361
2010-03-05,5088.7001953125,0.0016619605947987282
2010-03-08,5124.0,0.006912950461774869
2010-03-09,5101.5,-0.004400769901264923
2010-03-10,5116.25,0.0028871346912513474
2010-03-11,5133.39990234375,0.003346439831958037
2010-03-12,5137.0,0.0007010628286980847
2010-03-15,5128.89990234375,-0.0015780592864249599
2010-03-16,5198.10009765625,0.01340200079098075
2010-03-17,5231.89990234375,0.006481289167162174
2010-03-18,5245.89990234375,0.0026723183478338797
2010-03-19,5262.7998046875,0.0032163668929641176
2010-03-22,5205.2001953125,-0.011005003954608128
2010-03-23,5225.2998046875,0.003854011649290001
2010-03-25,5260.39990234375,0.0066948758289289145
2010-03-26,5282.0,0.004097762953682249
2010-03-29,5302.85009765625,0.003939616419884828
2010-03-30,5262.4501953125,-0.0076476954047439705
2010-03-31,5249.10009765625,-0.002540082949154865
2010-04-01,5290.5,0.007856107421153169
2010-04-05,5368.39990234375,0.014617134988492708
2010-04-06,5366.0,-0.00044714234713971734
2010-04-07,5374.64990234375,0.0016106854412800686
2010-04-08,5304.4501953125,-0.0131473097105399
2010-04-09,5361.75,0.010744286598761477
2010-04-12,5339.7001953125,-0.004120906136824587
2010-04-13,5322.9501953125,-0.00314181055640006
2010-04-15,5273.60009765625,-0.009314437828800592
2010-04-16,5262.60009765625,-0.002088040051001272
2010-04-19,5203.64990234375,-0.011264936095264133
2010-04-20,5230.10009765625,0.00507013336025075
2010-04-21,5244.89990234375,0.0028257402454041625
2010-04-22,5269.35009765625,0.004650876550451599
2010-04-23,5304.10009765625,0.006573090991871311
2010-04-26,5322.4501953125,0.003453635542998157
2010-04-27,5308.35009765625,-0.0026526894562817205
2010-04-28,5215.4501953125,-0.017655659171124327
2010-04-29,5254.14990234375,0.007392810217538681
2010-04-30,5278.0,0.0045290161353808145
2010-05-03,5222.75,-0.010523154984111827
2010-05-04,5148.5,-0.014318672982351899
2010-05-05,5124.89990234375,-0.004594416530935064
2010-05-06,5090.85009765625,-0.006666163674475811
2010-05-07,5018.0498046875,-0.014403456807526638
2010-05-10,5193.60009765625,0.03438574403959471
2010-05-11,5136.14990234375,-0.011123364586177686
2010-05-12,5156.64990234375,0.0039833723565134704
2010-05-13,5178.89990234375,0.004305534740250749
2010-05-14,5093.5,-0.016627442603928344
2010-05-17,5059.89990234375,-0.00661851608978381
2010-05-18,5066.2001953125,0.0012443672728821298
2010-05-19,4919.64990234375,-0.029353698318933752
2010-05-20,4947.60009765625,0.005665260344674294
2010-05-21,4931.14990234375,-0.0033304234883111405
2010-05-24,4943.9501953125,0.0025924395724832294
2010-05-25,4806.75,-0.02814346627068609
2010-05-26,4917.39990234375,0.02275873560832231
2010-05-27,5003.10009765625,0.017277824154023236
2010-05-28,5066.5498046875,0.012602334221158529
2010-05-31,5086.2998046875,0.0038905382570746383
2010-06-01,4970.2001953125,-0.023090492266616636
2010-06-02,5019.85009765625,0.009939952188865675
2010-06-03,5110.5,0.017897174553857198
2010-06-04,5135.5,0.004879962836728424
2010-06-07,5034.0,-0.019962312910598357
2010-06-08,4987.10009765625,-0.009360298632856257
2010-06-09,5000.2998046875,0.0026432734937476
2010-06-10,5078.60009765625,0.015537780712110205
2010-06-11,5119.35009765625,0.007991844656968894
2010-06-14,5197.7001953125,0.015188760681795088
2010-06-15,5222.35009765625,0.004731253234393051
2010-06-16,5233.35009765625,0.0021041161955448473
2010-06-17,5274.85009765625,0.007898634397593085
2010-06-18,5262.60009765625,-0.002325041692513352
2010-06-21,5353.2998046875,0.017087936936645676
2010-06-22,5316.5498046875,-0.0068885966849414615
