,^GDAXI,^N225,^BVSP,^NSEI,^HSI
count,3133.0,3133.0,3133.0,3133.0,3133.0
mean,0.5499468580987377,0.16275383149971961,0.48174076213533024,0.23036385299134657,0.18874400721139395
std,0.14164169412218786,0.12072385960814935,0.1785711412501142,0.11939793216707495,0.11804603576029267
min,0.0914284193340732,-0.1409630208812458,0.0207389129871874,-0.042337739892052,-0.0922850534236867
25%,0.4862485725116832,0.0827462740170392,0.3667861144460711,0.1450603277913317,0.0931421026739129
50%,0.5420953472130248,0.1532266484628401,0.4515030893271137,0.2291335745026028,0.1923223447423536
75%,0.6692755038242115,0.2543283875612615,0.5821572948344212,0.3042375236035026,0.267433768697314
max,0.8393325246302767,0.6066005150095718,0.9101787670308216,0.6270816744419978,0.4719607706443703
