Date,Price,Returns
2010-01-04,21823.279296875,
2010-01-05,22279.580078125,0.0206933097050932
2010-01-06,22416.669921875,0.0061343076270397034
2010-01-07,22269.44921875,-0.006589126046634419
2010-01-08,22296.75,0.0012251789537174318
2010-01-11,22411.51953125,0.005134163525456259
2010-01-12,22326.640625,-0.003794479155807551
2010-01-13,21748.599609375,-0.02623124261833709
2010-01-14,21716.94921875,-0.001456344027504386
2010-01-15,21654.16015625,-0.0028954346462910507
2010-01-18,21460.009765625,-0.009006398747990474
2010-01-19,21677.98046875,0.010105828157929153
2010-01-20,21286.169921875,-0.018239458035402834
2010-01-21,20862.669921875,-0.02009612858472032
2010-01-22,20726.1796875,-0.006563813411434083
2010-01-25,20598.55078125,-0.006176897494492906
2010-01-26,20109.330078125,-0.024036832539344744
2010-01-27,20033.0703125,-0.0037994667295961904
2010-01-28,20356.369140625,0.01600941917678078
2010-01-29,20121.990234375,-0.011580584254963
2010-02-01,20243.75,0.006032845388554975
2010-02-02,20272.1796875,0.001403383428950633
2010-02-03,20722.080078125,0.021950314857001274
2010-02-04,20341.640625,-0.01852975482638719
2010-02-05,19665.080078125,-0.03382556940742276
2010-02-08,19550.890625,-0.005823636329941095
2010-02-09,19790.279296875,0.012170030885753746
2010-02-10,19922.220703125,0.006644854478013329
2010-02-11,20290.689453125,0.018326406183966526
2010-02-12,20268.689453125,-0.0010848293416145793
2010-02-17,20534.009765625,0.01300522059401743
2010-02-18,20422.150390625,-0.005462409205875929
2010-02-19,19894.01953125,-0.026200954758364148
2010-02-22,20377.26953125,0.02400088046494986
2010-02-23,20623.0,0.011986916861360442
2010-02-24,20467.740234375,-0.007556958264320457
2010-02-25,20399.5703125,-0.003336162041994939
2010-02-26,20608.69921875,0.010199441312025215
2010-03-01,21056.9296875,0.0215164284323226
2010-03-02,20906.109375,-0.0071882764114619135
2010-03-03,20876.7890625,-0.0014034601910903888
2010-03-04,20575.779296875,-0.014523348900230104
2010-03-05,20787.970703125,0.010259866071368862
2010-03-08,21196.869140625,0.019479000897380416
2010-03-09,21207.55078125,0.0005037984658482486
2010-03-10,21208.2890625,3.481158231544157e-05
2010-03-11,21228.19921875,0.000938350863480153
2010-03-12,21209.740234375,-0.0008699284544437802
2010-03-15,21079.099609375,-0.006178511449926205
2010-03-16,21022.9296875,-0.002668277806993302
2010-03-17,21384.490234375,0.01705217193641495
2010-03-18,21330.669921875,-0.0025199643772388924
2010-03-19,21370.8203125,0.0018805152811633974
2010-03-22,20933.25,-0.020687650860129025
2010-03-23,20987.779296875,0.002601526181194913
2010-03-24,21008.619140625,0.0009924586981693295
2010-03-25,20778.55078125,-0.011011546583757692
2010-03-26,21053.109375,0.013127020794499344
2010-03-29,21237.4296875,0.008716913225022438
2010-03-30,21374.7890625,0.006446970131548824
2010-03-31,21239.349609375,-0.0063565714757150005
2010-04-01,21537.0,0.013916811385092487
2010-04-07,21928.76953125,0.018027065667048703
2010-04-08,21867.0390625,-0.002819014495328176
2010-04-09,22208.5,0.015494661045995173
2010-04-12,22138.169921875,-0.0031718339713915356
2010-04-13,22103.529296875,-0.001565972044055286
2010-04-14,22121.4296875,0.0008095153512233111
2010-04-15,22157.8203125,0.0016436878760632823
2010-04-16,21865.259765625,-0.013291430466644272
2010-04-19,21405.169921875,-0.021266587240203805
2010-04-20,21623.380859375,0.010142698474702172
2010-04-21,21510.9296875,-0.005214012938036916
2010-04-22,21454.939453125,-0.0026062671226387835
2010-04-23,21244.490234375,-0.009857317736669202
2010-04-26,21587.060546875,0.015996507770417168
2010-04-27,21261.7890625,-0.015182565483950583
2010-04-28,20949.400390625,-0.014801495962981193
2010-04-29,20778.919921875,-0.008171017476399811
2010-04-30,21108.58984375,0.015741051728568323
2010-05-03,20811.359375,-0.014181097804154774
2010-05-04,20763.05078125,-0.002323959152297661
2010-05-05,20327.5390625,-0.021198431525858652
2010-05-06,20133.41015625,-0.009595938782700486
2010-05-07,19920.2890625,-0.010641868752317762
2010-05-10,20426.640625,0.02510119865679883
2010-05-11,20146.509765625,-0.013808901112060568
2010-05-12,20212.490234375,0.0032696809897210244
2010-05-13,20422.4609375,0.010334579757939721
2010-05-14,20145.4296875,-0.013657873362982187
2010-05-17,19715.19921875,-0.021587575938932346
2010-05-18,19944.939453125,0.011585577449530149
2010-05-19,19578.98046875,-0.018518883947383102
2010-05-20,19545.830078125,-0.0016945972693385158
2010-05-24,19667.759765625,0.006218766551855381
2010-05-25,18985.5,-0.03530520507751689
2010-05-26,19196.44921875,0.011049795488954572
2010-05-27,19431.369140625,0.012163400791429524
2010-05-28,19766.7109375,0.01711053080536651
2010-05-31,19765.189453125,-7.697501818704211e-05
2010-06-01,19496.94921875,-0.013664278976479594
2010-06-02,19471.80078125,-0.0012906978535998093
2010-06-03,19786.7109375,0.0160432424398973
2010-06-04,19780.0703125,-0.00033566668061268956
2010-06-07,19378.150390625,-0.020528718087460263
2010-06-08,19487.48046875,0.005626069310579851
2010-06-09,19621.240234375,0.006840432762222903
2010-06-10,19632.69921875,0.0005838387107210963
2010-06-11,19872.380859375,0.01213436758487596
2010-06-14,20051.91015625,0.008993547656935164
2010-06-15,20062.150390625,0.0005105558728200066
2010-06-17,20138.400390625,0.0037934849129150905
2010-06-18,20286.7109375,0.007337578422049518
2010-06-21,20912.1796875,0.03036571133856114
2010-06-22,20819.080078125,-0.004461871716905819
2010-06-23,20856.609375,0.0018010167323847526
2010-06-24,20733.490234375,-0.005920615792197381
2010-06-25,20690.7890625,-0.002061650207295429
